Data polled every ~10 seconds starting from ~45 minutes after the poll was created.
Left column is Iris votes, Right column is Kairo votes
- Data logged by MrL314

2982,4089
3028,4114
2982,4089
3028,4114
3028,4114
3028,4114
3028,4114
3028,4114
3028,4114
3028,4114
3028,4114
3028,4114
3028,4114
3028,4114
3028,4114
3028,4114
3028,4114
3028,4114
3028,4114
3028,4114
3028,4114
3028,4114
3028,4114
3028,4114
3028,4114
3028,4114
3028,4114
3028,4114
3028,4114
3028,4114
3028,4114
3028,4114
3028,4114
3028,4114
3028,4114
3028,4114
3028,4114
3028,4114
3028,4114
3028,4114
3028,4114
3028,4114
3028,4114
3028,4114
3028,4114
3028,4114
3028,4114
3028,4114
3028,4114
3028,4114
3028,4114
3028,4114
3028,4114
3028,4114
3028,4114
3028,4114
3028,4114
3028,4114
3069,4130
3028,4114
3069,4130
3069,4130
3028,4114
3069,4130
3069,4130
3069,4130
3069,4130
3069,4130
3069,4130
3069,4130
3069,4130
3069,4130
3069,4130
3069,4130
3069,4130
3069,4130
3069,4130
3069,4130
3069,4130
3069,4130
3069,4130
3069,4130
3069,4130
3069,4130
3069,4130
3069,4130
3069,4130
3069,4130
3069,4130
3069,4130
3069,4130
3069,4130
3069,4130
3069,4130
3069,4130
3069,4130
3069,4130
3069,4130
3069,4130
3069,4130
3069,4130
3069,4130
3069,4130
3069,4130
3069,4130
3069,4130
3069,4130
3069,4130
3069,4130
3069,4130
3069,4130
3069,4130
3069,4130
3069,4130
3069,4130
3100,4147
3100,4147
3069,4130
3100,4147
3069,4130
3100,4147
3100,4147
3100,4147
3100,4147
3100,4147
3100,4147
3100,4147
3100,4147
3100,4147
3100,4147
3100,4147
3100,4147
3100,4147
3100,4147
3100,4147
3100,4147
3100,4147
3100,4147
3100,4147
3100,4147
3100,4147
3100,4147
3100,4147
3100,4147
3100,4147
3100,4147
3100,4147
3100,4147
3100,4147
3100,4147
3100,4147
3100,4147
3100,4147
3100,4147
3100,4147
3100,4147
3100,4147
3100,4147
3100,4147
3100,4147
3100,4147
3100,4147
3100,4147
3100,4147
3100,4147
3100,4147
3100,4147
3100,4147
3100,4147
3100,4147
3100,4147
3100,4147
3100,4147
3100,4147
3100,4147
3142,4168
3100,4147
3142,4168
3142,4168
3100,4147
3142,4168
3142,4168
3142,4168
3142,4168
3142,4168
3142,4168
3142,4168
3142,4168
3142,4168
3142,4168
3142,4168
3142,4168
3142,4168
3142,4168
3142,4168
3142,4168
3142,4168
3142,4168
3142,4168
3142,4168
3142,4168
3142,4168
3142,4168
3142,4168
3142,4168
3142,4168
3142,4168
3142,4168
3142,4168
3142,4168
3142,4168
3142,4168
3142,4168
3142,4168
3142,4168
3142,4168
3142,4168
3142,4168
3142,4168
3142,4168
3142,4168
3142,4168
3142,4168
3142,4168
3142,4168
3142,4168
3142,4168
3142,4168
3142,4168
3142,4168
3142,4168
3142,4168
3142,4168
3180,4185
3142,4168
3180,4185
3180,4185
3142,4168
3142,4168
3180,4185
3180,4185
3180,4185
3180,4185
3180,4185
3180,4185
3180,4185
3180,4185
3180,4185
3180,4185
3180,4185
3180,4185
3180,4185
3180,4185
3180,4185
3180,4185
3180,4185
3180,4185
3180,4185
3180,4185
3180,4185
3180,4185
3180,4185
3180,4185
3180,4185
3180,4185
3180,4185
3180,4185
3180,4185
3180,4185
3180,4185
3180,4185
3180,4185
3180,4185
3180,4185
3180,4185
3180,4185
3180,4185
3180,4185
3180,4185
3180,4185
3180,4185
3180,4185
3180,4185
3180,4185
3180,4185
3180,4185
3180,4185
3180,4185
3180,4185
3180,4185
3180,4185
3180,4185
3180,4185
3180,4185
3180,4185
3221,4200
3221,4200
3221,4200
3221,4200
3221,4200
3221,4200
3221,4200
3221,4200
3221,4200
3221,4200
3221,4200
3221,4200
3221,4200
3221,4200
3221,4200
3221,4200
3221,4200
3221,4200
3221,4200
3221,4200
3221,4200
3221,4200
3221,4200
3221,4200
3221,4200
3221,4200
3221,4200
3221,4200
3221,4200
3221,4200
3221,4200
3221,4200
3221,4200
3221,4200
3221,4200
3221,4200
3221,4200
3221,4200
3221,4200
3221,4200
3221,4200
3221,4200
3221,4200
3221,4200
3221,4200
3221,4200
3221,4200
3221,4200
3221,4200
3221,4200
3221,4200
3221,4200
3221,4200
3221,4200
3221,4200
3221,4200
3221,4200
3221,4200
3221,4200
3221,4200
3253,4216
3221,4200
3253,4216
3221,4200
3221,4200
3253,4216
3253,4216
3253,4216
3253,4216
3253,4216
3253,4216
3253,4216
3253,4216
3253,4216
3253,4216
3253,4216
3253,4216
3253,4216
3253,4216
3253,4216
3253,4216
3253,4216
3253,4216
3253,4216
3253,4216
3253,4216
3253,4216
3253,4216
3253,4216
3253,4216
3253,4216
3253,4216
3253,4216
3253,4216
3253,4216
3253,4216
3253,4216
3253,4216
3253,4216
3253,4216
3253,4216
3253,4216
3253,4216
3253,4216
3253,4216
3253,4216
3253,4216
3253,4216
3253,4216
3253,4216
3253,4216
3253,4216
3253,4216
3253,4216
3253,4216
3253,4216
3253,4216
3290,4229
3253,4216
3290,4229
3290,4229
3253,4216
3290,4229
3290,4229
3290,4229
3290,4229
3290,4229
3290,4229
3290,4229
3290,4229
3290,4229
3290,4229
3290,4229
3290,4229
3290,4229
3290,4229
3290,4229
3290,4229
3290,4229
3290,4229
3290,4229
3290,4229
3290,4229
3290,4229
3290,4229
3290,4229
3290,4229
3290,4229
3290,4229
3290,4229
3290,4229
3290,4229
3290,4229
3290,4229
3290,4229
3290,4229
3290,4229
3290,4229
3290,4229
3290,4229
3290,4229
3290,4229
3290,4229
3290,4229
3290,4229
3290,4229
3290,4229
3290,4229
3290,4229
3290,4229
3290,4229
3290,4229
3290,4229
3290,4229
3309,4244
3309,4244
3290,4229
3290,4229
3290,4229
3290,4229
3309,4244
3309,4244
3309,4244
3290,4229
3309,4244
3309,4244
3309,4244
3309,4244
3309,4244
3309,4244
3309,4244
3309,4244
3309,4244
3309,4244
3309,4244
3309,4244
3309,4244
3309,4244
3309,4244
3309,4244
3309,4244
3309,4244
3309,4244
3309,4244
3309,4244
3309,4244
3309,4244
3309,4244
3309,4244
3309,4244
3309,4244
3309,4244
3309,4244
3309,4244
3309,4244
3309,4244
3309,4244
3309,4244
3309,4244
3309,4244
3309,4244
3309,4244
3309,4244
3309,4244
3309,4244
3309,4244
3309,4244
3309,4244
3309,4244
3309,4244
3309,4244
3309,4244
3309,4244
3309,4244
3309,4244
3309,4244
3309,4244
3309,4244
3346,4271
3309,4244
3346,4271
3346,4271
3346,4271
3346,4271
3346,4271
3346,4271
3346,4271
3346,4271
3346,4271
3346,4271
3346,4271
3346,4271
3346,4271
3346,4271
3346,4271
3346,4271
3346,4271
3346,4271
3346,4271
3346,4271
3346,4271
3346,4271
3346,4271
3346,4271
3346,4271
3346,4271
3346,4271
3346,4271
3346,4271
3346,4271
3346,4271
3346,4271
3346,4271
3346,4271
3346,4271
3346,4271
3346,4271
3346,4271
3346,4271
3346,4271
3346,4271
3346,4271
3346,4271
3346,4271
3346,4271
3346,4271
3346,4271
3346,4271
3346,4271
3346,4271
3346,4271
3346,4271
3346,4271
3346,4271
3346,4271
3378,4293
3378,4293
3346,4271
3346,4271
3346,4271
3378,4293
3378,4293
3378,4293
3378,4293
3378,4293
3378,4293
